PLR_NAME,Player,Team ABR,Team,RK,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD,Position,College,School,Conference
Ashton Dulin,Ashton Dulin,IND,Indianapolis,152,13,5,45,9.0,12,0,0,3.5,0,0,2,WR,Malone (OH),,
J.J. Taylor,J.J. Taylor,HOU,Houston,153,5,10,44,4.4,9,0,0,8.8,0,0,1,RB,Arizona,Arizona,Big 12
Derius Davis,Derius Davis,LAC,LA Chargers,154,13,10,43,4.3,10,0,0,3.3,0,0,2,WR,Texas Christian,Texas,SEC
Tank Dell,Nathaniel Dell,HOU,Houston,154,14,9,43,4.8,18,0,0,3.1,0,0,3,WR,Houston,Houston,Big 12
Marvin Mims Jr.,Marvin Mims,DEN,Denver,154,15,12,43,3.6,17,0,0,2.9,0,0,3,WR,Oklahoma,Oklahoma,SEC
Jordan Mims,Jordan Mims,NO,New Orleans,157,9,14,42,3.0,9,0,0,4.7,0,0,1,RB,Fresno State,Fresno St.,Mountain West
Bo Melton,Bo Melton,GB,Green Bay,158,14,6,39,6.5,16,0,0,2.8,0,0,3,WR,Rutgers,Rutgers,Big Ten
Ricky Pearsall,Ricky Pearsall,SF,San Francisco,158,9,1,39,39.0,39,1,0,4.3,0,0,1,WR,Florida,Florida,SEC
Tre Tucker,Tre Tucker,LV,Las Vegas,158,15,8,39,4.9,11,0,1,2.6,0,0,3,WR,Cincinnati,Cincinnati,Big 12
Khalil Herbert,Khalil Herbert,CHI/CIN,Cincinnati,161,12,12,38,3.2,14,0,1,3.2,0,0,4,RB,Virginia Tech,Virginia Tech,ACC
Marcus Mariota,Marcus Mariota,WSH,Washington,162,2,13,36,2.8,11,0,0,18.0,0,0,3,QB,Oregon,Oregon,Big Ten
Desmond Ridder,Desmond Ridder,LV,Las Vegas,162,5,9,36,4.0,11,0,0,7.2,1,0,2,QB,Cincinnati,Cincinnati,Big 12
Malik Washington,Malik Washington,MIA,Miami,162,12,4,36,9.0,18,0,1,3.0,0,0,1,WR,Virginia,Virginia,ACC
Andy Dalton,Andy Dalton,CAR,Carolina,165,6,11,34,3.1,18,0,0,5.7,2,0,2,QB,Texas Christian,Texas,SEC
Rasheen Ali,Rasheen Ali,BAL,Baltimore,165,4,9,34,3.8,9,0,0,8.5,0,0,2,RB,Marshall,Marshall,Sun Belt
DJ Turner,DJ Turner,LV,Cincinnati,167,12,5,33,6.6,18,0,1,2.8,0,0,1,DB,Michigan,Michigan,Big Ten
Deuce Vaughn,Deuce Vaughn,DAL,Dallas,167,6,11,33,3.0,7,0,0,5.5,0,0,0,RB,Kansas State,Kansas,Big 12
Tommy DeVito,Tommy DeVito,NYG,NY Giants,169,3,8,32,4.0,17,0,0,10.7,0,0,1,QB,Illinois,Illinois,Big Ten
Ja'Marr Chase,Ja'Marr Chase,CIN,Cincinnati,169,15,3,32,10.7,14,0,0,2.1,0,0,2,WR,Louisiana State,Louisiana,Sun Belt
Jase McClellan,Jase McClellan,ATL,Atlanta,169,2,13,32,2.5,8,0,0,16.0,0,0,2,RB,Alabama,Alabama,SEC
Xavier Smith,Xavier Smith,LAR,LA Rams,172,13,2,30,15.0,24,1,0,2.3,0,0,1,WR,Florida A&M,Florida,SEC
Brian Thomas Jr.,Brian Thomas,JAX,Jacksonville,172,15,5,30,6.0,13,0,0,2.0,0,0,2,WR,Louisiana State,Louisiana,Sun Belt
Rashid Shaheed,Rashid Shaheed,NO,New Orleans,174,6,6,29,4.8,13,0,0,4.8,0,0,2,WR,Weber State,,
Jalen McMillan,Jalen McMillan,TB,Tampa Bay,175,11,2,28,14.0,17,0,0,2.5,0,0,2,WR,Washington,Washington,Big Ten
DeeJay Dallas,DeeJay Dallas,ARI,Arizona,176,15,8,27,3.4,7,0,0,1.8,0,0,3,RB,Miami,Miami (FL),ACC
Kyle Juszczyk,Kyle Juszczyk,SF,San Francisco,177,15,5,26,5.2,14,0,1,1.7,1,1,1,RB,Harvard,,
Hassan Haskins,Hassan Haskins,LAC,LA Chargers,177,15,14,26,1.9,5,0,1,1.7,1,1,6,RB,Michigan,Michigan,Big Ten
Malachi Corley,Malachi Corley,NYJ,NY Jets,177,8,2,26,13.0,18,0,0,3.3,1,1,1,WR,Western Kentucky,Kentucky,SEC
Joe Flacco,Joe Flacco,IND,Indianapolis,180,6,8,25,3.1,21,1,0,4.2,1,1,2,QB,Delaware,,
Matthew Stafford,Matthew Stafford,LAR,LA Rams,180,15,24,25,1.0,15,0,0,1.7,2,0,7,QB,Georgia,Georgia,SEC
Eric Gray,Eric Gray,NYG,NY Giants,180,15,13,25,1.9,6,0,0,1.7,1,1,1,RB,Oklahoma,Oklahoma,SEC
Greg Dortch,Greg Dortch,ARI,Arizona,183,15,4,24,6.0,8,0,0,1.6,1,0,1,WR,Wake Forest,Wake Forest,ACC
Xavier Legette,Xavier Legette,CAR,Carolina,183,14,6,24,4.0,8,0,0,1.7,0,0,2,WR,South Carolina,South Carolina,SEC
Jakobi Meyers,Jakobi Meyers,LV,Las Vegas,185,13,2,23,11.5,20,1,0,1.8,0,0,1,WR,North Carolina State,North Carolina,ACC
Travis Homer,Travis Homer,CHI,Chicago,185,10,6,23,3.8,6,0,0,2.3,0,0,2,RB,Miami,Miami (FL),ACC
Hunter Luepke,Hunter Luepke,DAL,Dallas,185,14,9,23,2.6,6,0,0,1.6,0,0,4,RB,North Dakota State,NC State,ACC
Mike Boone,Mike Boone,CAR,Carolina,188,4,7,22,3.1,9,0,0,5.5,0,0,1,RB,Cincinnati,Cincinnati,Big 12
Jonathan Ward,Jonathan Ward,PIT,Pittsburgh,188,4,5,22,4.4,7,0,0,5.5,0,0,1,RB,Central Michigan,Michigan,Big Ten
Jake Haener,Jake Haener,NO,New Orleans,188,8,11,22,2.0,9,0,0,2.8,0,0,0,QB,Fresno State,Fresno St.,Mountain West
Jaxon Smith-Njigba,Jaxon Smith-Njigba,SEA,Seattle,188,15,4,22,5.5,8,0,0,1.5,0,0,1,WR,Ohio State,Ohio State,Big Ten
Jonathon Brooks,Jonathon Brooks,CAR,Carolina,188,3,9,22,2.4,9,0,0,7.3,0,0,0,RB,Texas,Texas,SEC
Ashtyn Davis,Ashtyn Davis,NYJ,NY Jets,193,13,1,21,21.0,21,1,0,1.6,0,0,1,DB,California,California,ACC
Dalvin Cook,Dalvin Cook,DAL,Dallas,194,2,8,20,2.5,4,0,0,10.0,0,0,0,RB,Florida State,Florida,SEC
Jordan Addison,Jordan Addison,MIN,Minnesota,194,13,3,20,6.7,9,0,1,1.5,0,0,1,WR,Southern California,Southern California,Big Ten
Michael Carter,Michael Carter,ARI,Arizona,196,1,5,18,3.6,6,0,0,18.0,0,0,1,RB,North Carolina,North Carolina,ACC
Michael Carter,Michael Carter,ARI,NY Jets,196,1,5,18,3.6,6,0,0,18.0,0,0,1,DB,Duke,Duke,ACC
Aidan O'Connell,Aidan O'Connell,LV,Las Vegas,196,7,14,18,1.3,13,0,1,2.6,2,2,7,QB,Purdue,Purdue,Big Ten
Dyami Brown,Dyami Brown,WSH,Washington,196,15,2,18,9.0,14,0,0,1.2,0,0,1,WR,North Carolina,North Carolina,ACC
Wan'Dale Robinson,Wan'Dale Robinson,NYG,NY Giants,196,15,3,18,6.0,14,0,0,1.2,0,0,1,WR,Kentucky,Kentucky,SEC
Darius Slayton,Darius Slayton,NYG,NY Giants,200,14,2,17,8.5,11,0,0,1.2,0,0,1,WR,Auburn,Auburn,SEC
Alec Ingold,Alec Ingold,MIA,Miami,200,13,10,17,1.7,6,0,1,1.3,2,1,6,RB,Wisconsin,Wisconsin,Big Ten
Aaron Shampklin,Aaron Shampklin,PIT,Pittsburgh,200,3,6,17,2.8,5,0,0,5.7,0,0,1,RB,Harvard,,
Cooper Rush,Cooper Rush,DAL,Dallas,203,11,25,16,0.6,9,0,0,1.5,7,2,4,QB,Central Michigan,Michigan,Big Ten
DeMario Douglas,Demario Douglas,NE,New England,203,15,3,16,5.3,9,0,0,1.1,0,0,0,WR,Liberty,Liberty,CUSA
MarShawn Lloyd,MarShawn Lloyd,GB,Green Bay,205,1,6,15,2.5,5,0,0,15.0,0,0,0,RB,Southern California,Southern California,Big Ten
Rome Odunze,Rome Odunze,CHI,Chicago,205,15,3,15,5.0,8,0,0,1.0,0,0,1,WR,Washington,Washington,Big Ten
Curtis Samuel,Curtis Samuel,BUF,Buffalo,207,13,5,14,2.8,7,0,0,1.1,0,0,0,WR,Ohio State,Ohio State,Big Ten
Trey Lance,Trey Lance,DAL,Dallas,207,2,4,14,3.5,11,0,0,7.0,0,0,2,QB,North Dakota State,NC State,ACC
Brock Bowers,Brock Bowers,LV,Las Vegas,207,15,4,14,3.5,12,0,0,0.9,0,0,2,TE,Georgia,Georgia,SEC
Sione Vaki,Sione Vaki,DET,Detroit,207,14,6,14,2.3,7,0,0,1.0,0,0,0,RB,Utah,Utah,Big 12
Raheem Blackshear,Raheem Blackshear,CAR,Carolina,211,14,3,13,4.3,5,0,0,0.9,0,0,0,RB,Virginia Tech,Virginia Tech,ACC
Jahan Dotson,Jahan Dotson,PHI,Philadelphia,211,15,1,13,13.0,13,0,0,0.9,0,0,1,WR,Penn State,Penn St.,Big Ten
Jermar Jefferson,Jermar Jefferson,DET,Detroit,211,1,3,13,4.3,5,0,0,13.0,0,0,1,RB,Oregon State,Oregon,Big Ten
Terrell Jennings,Terrell Jennings,NE,New England,211,2,5,13,2.6,5,0,0,6.5,0,0,0,RB,Florida A&M,Florida,SEC
Taylor Heinicke,Taylor Heinicke,LAC,LA Chargers,215,3,1,12,12.0,12,0,0,4.0,0,0,0,QB,Old Dominion,Old Dominion,Sun Belt
Kenny Pickett,Kenny Pickett,PHI,Philadelphia,215,4,6,12,2.0,8,0,0,3.0,0,0,1,QB,Pittsburgh,Pittsburgh,ACC
Josh Downs,Josh Downs,IND,Indianapolis,215,12,1,12,12.0,13,0,0,1.0,0,0,1,WR,North Carolina,North Carolina,ACC
Velus Jones Jr.,Velus Jones,CHI/CAR,Carolina,218,2,2,11,5.5,6,0,0,5.5,0,0,1,WR,Tennessee,Tennessee,SEC
Matthew Hayball,Matt Hayball,NO,New Orleans,218,14,1,11,11.0,11,0,0,0.8,0,0,1,P,Vanderbilt,Vanderbilt,SEC
Tyreik McAllister,Tyreik McAllister,LV,Las Vegas,218,3,2,11,5.5,10,0,0,3.7,0,0,1,RB,Charleston,,
Cooper Kupp,Cooper Kupp,LAR,LA Rams,221,11,2,10,5.0,9,0,0,0.9,0,0,1,WR,Eastern Washington,Washington,Big Ten
C.J. Ham,C.J. Ham,MIN,Minnesota,221,15,2,10,5.0,8,0,1,0.7,0,0,1,RB,Augustana (SD),,
Blake Watson,Blake Watson,DEN,Denver,221,2,4,10,2.5,7,0,0,5.0,0,0,2,RB,Memphis,Memphis,The American
George Holani,George Holani,SEA,Seattle,221,3,3,10,3.3,8,0,0,3.3,0,0,1,RB,Boise State,Boise St.,Mountain West
Tim Boyle,Tim Boyle,MIA/NYG,NY Giants,225,3,3,9,3.0,6,0,0,3.0,0,0,1,QB,Eastern Kentucky,Kentucky,SEC
Kevin Austin Jr.,Kevin Austin,NO,New Orleans,225,5,1,9,9.0,9,0,0,1.8,0,0,0,WR,Notre Dame,Notre Dame,FBS Independent
Stefon Diggs,Stefon Diggs,HOU,Houston,227,8,3,8,2.7,6,0,1,1.0,0,0,1,WR,Maryland,Maryland,Big Ten
Troy Franklin,Troy Franklin,DEN,Denver,227,14,2,8,4.0,5,0,0,0.6,0,0,0,WR,Oregon,Oregon,Big Ten
Tyrod Taylor,Tyrod Taylor,NYJ,NY Jets,229,1,1,7,7.0,7,0,0,7.0,0,0,0,QB,Virginia Tech,Virginia Tech,ACC
Tutu Atwell,Deven Thompkins,LAR,Carolina Panthers,229,15,2,7,3.5,7,0,0,0.5,0,0,0,WR,Utah State,Utah,Big 12
Chris Olave,Chris Olave,NO,New Orleans,229,8,1,7,7.0,7,0,0,0.9,0,0,1,WR,Ohio State,Ohio State,Big Ten
Deven Thompkins,Deven Thompkins,CAR,Carolina,229,7,2,7,3.5,9,0,0,1.0,0,0,0,WR,Utah State,Utah,Big 12
Kendrick Bourne,Kendrick Bourne,NE,New England,233,10,1,6,6.0,6,0,0,0.6,0,0,1,WR,Eastern Washington,Washington,Big Ten
Diontae Johnson,Dyontae Johnson,BAL/CAR,NY Giants,233,11,2,6,3.0,4,0,0,0.5,0,0,1,LB,Toledo,Toledo,MAC
Jaylen Waddle,Jaylen Waddle,MIA,Miami,233,14,3,6,2.0,4,0,0,0.4,0,0,0,WR,Alabama,Alabama,SEC
Amon-Ra St. Brown,Amon-Ra St. Brown,DET,Detroit,233,15,2,6,3.0,10,0,0,0.4,0,0,1,WR,Southern California,Southern California,Big Ten
Quentin Johnston,Quentin Johnston,LAC,LA Chargers,233,13,3,6,2.0,4,0,0,0.5,0,0,0,WR,Texas Christian,Texas,SEC
Adonai Mitchell,Adonai Mitchell,IND,Indianapolis,233,15,4,6,1.5,10,0,0,0.4,1,1,1,WR,Texas,Texas,SEC
Michael Burton,Michael Burton,DEN,Denver,239,15,6,5,0.8,3,0,1,0.3,0,0,3,RB,Rutgers,Rutgers,Big Ten
Mark Andrews,Mark Andrews,BAL,Baltimore,239,15,3,5,1.7,2,0,0,0.3,0,0,3,TE,Oklahoma,Oklahoma,SEC
Marcus Jones,Marcus Jones,NE,New England,239,14,1,5,5.0,5,0,0,0.4,0,0,0,DB,Houston,Houston,Big 12
Jonathan Mingo,Jonathan Mingo,DAL/CAR,Dallas,239,15,2,5,2.5,3,0,0,0.3,1,1,0,WR,Mississippi,Mississippi St.,SEC
Garrett Wilson,Garrett Wilson,NYJ,NY Jets,239,15,1,5,5.0,5,0,0,0.3,0,0,1,WR,Ohio State,Ohio State,Big Ten
Brandon Allen,Brandon Allen,SF,San Francisco,244,3,3,4,1.3,6,0,0,1.3,0,0,0,QB,Arkansas,Arkansas,SEC
Marquez Valdes-Scantling,Marquez Valdes-Scantling,BUF/NO,New Orleans,244,12,1,4,4.0,4,0,0,0.3,0,0,0,WR,South Florida,Florida,SEC
Ke'Shawn Vaughn,Ke'Shawn Vaughn,SF,San Francisco,244,3,2,4,2.0,3,0,0,1.3,0,0,0,RB,Vanderbilt,Vanderbilt,SEC
Skylar Thompson,Skylar Thompson,MIA,Miami,244,3,1,4,4.0,4,0,0,1.3,0,0,0,QB,Kansas State,Kansas,Big 12
Khalil Shakir,Khalil Shakir,BUF,Buffalo,244,14,2,4,2.0,2,0,0,0.3,0,0,0,WR,Boise State,Boise St.,Mountain West
Tucker Kraft,Tucker Kraft,GB,Green Bay,244,14,2,4,2.0,2,0,0,0.3,0,0,2,TE,South Dakota State,NC State,ACC
Tyler Boyd,Tyler Boyd,TEN,Tennessee,250,15,1,3,3.0,3,0,0,0.2,0,0,1,WR,Pittsburgh,Pittsburgh,ACC
Darrynton Evans,Darrynton Evans,CHI,Chicago,250,3,3,3,1.0,4,0,0,1.0,0,0,0,RB,Appalachian State,NC State,ACC
Devin Duvernay,Devin Duvernay,JAX,Jacksonville,250,11,4,3,0.8,4,0,0,0.3,0,0,1,WR,Texas,Texas,SEC
Justin Jefferson,Justin Jefferson,MIN,Minnesota,250,15,1,3,3.0,3,0,0,0.2,0,0,0,WR,Louisiana State,Louisiana,Sun Belt
Michael Penix Jr.,Michael Penix,ATL,Atlanta,250,3,4,3,0.8,5,0,0,1.0,0,0,0,QB,Washington,Washington,Big Ten
Brandin Cooks,Brandin Cooks,DAL,Dallas,255,8,2,2,1.0,5,0,0,0.3,0,0,0,WR,Oregon State,Oregon,Big Ten
Chris Godwin,Chris Godwin,TB,Tampa Bay,255,7,1,2,2.0,2,0,0,0.3,0,0,1,WR,Penn State,Penn St.,Big Ten
Terry McLaurin,Terry McLaurin,WSH,Washington,255,15,2,2,1.0,2,0,0,0.1,1,1,0,WR,Ohio State,Ohio State,Big Ten
Julian Love,Julian Love,SEA,Seattle,255,15,1,2,2.0,2,0,0,0.1,0,0,1,DB,Notre Dame,Notre Dame,FBS Independent
Hendon Hooker,Hendon Hooker,DET,Detroit,255,3,5,2,0.4,3,0,0,0.7,0,0,1,QB,Tennessee,Tennessee,SEC
Charlie Kolar,Charlie Kolar,BAL,Baltimore,255,12,1,2,2.0,2,0,0,0.2,0,0,1,TE,Iowa State,Iowa,Big Ten
Trey McBride,Trey McBride,ARI,Arizona,255,14,1,2,2.0,2,0,1,0.1,0,0,1,TE,Colorado State,Colorado,Big 12
British Brooks,British Brooks,HOU,Houston,255,5,1,2,2.0,2,0,0,0.4,0,0,0,RB,North Carolina,North Carolina,ACC
Sam Howell,Sam Howell,SEA,Seattle,255,3,1,2,2.0,2,0,0,0.7,0,0,0,QB,North Carolina,North Carolina,ACC
Dell Pettus,Dell Pettus,NE,New England,255,15,1,2,2.0,2,0,0,0.1,0,0,1,DB,Troy State,Troy,Sun Belt
Ainias Smith,Ainias Smith,PHI,Philadelphia,255,5,1,2,2.0,2,0,0,0.4,0,0,0,WR,Texas A&M,Texas A&M,SEC
Malik Nabers,Malik Nabers,NYG,NY Giants,255,13,5,2,0.4,4,0,0,0.2,0,0,1,WR,Louisiana State,Louisiana,Sun Belt
Josh Johnson,Josh Johnson,BAL,Baltimore,267,4,4,1,0.3,2,0,0,0.3,0,0,0,QB,San Diego,San Diego St.,Mountain West
Travis Kelce,Travis Kelce,KC,Kansas City,267,15,1,1,1.0,1,0,0,0.1,0,0,0,TE,Cincinnati,Cincinnati,Big 12
Jalen Reeves-Maybin,Jalen Reeves-Maybin,DET,Detroit,267,8,1,1,1.0,1,0,0,0.1,0,0,0,LB,Tennessee,Tennessee,SEC
Tanner Hudson,Tanner Hudson,CIN,Cincinnati,267,10,1,1,1.0,1,0,0,0.1,0,0,1,TE,Southern Arkansas,Kansas,Big 12
DeVonta Smith,DeVonta Smith,PHI,Philadelphia,267,12,1,1,1.0,1,0,0,0.1,0,0,0,WR,Alabama,Alabama,SEC
Laviska Shenault Jr.,Laviska Shenault,LAC/SEA,LA Chargers,267,12,1,1,1.0,1,0,0,0.1,0,0,0,WR,Colorado,Colorado,Big 12
Elijah Moore,Elijah Moore,CLE,Cleveland,267,15,1,1,1.0,1,0,0,0.1,0,0,0,WR,Mississippi,Mississippi St.,SEC
Rashee Rice,Rashee Rice,KC,Kansas City,267,4,1,1,1.0,1,0,0,0.3,0,0,1,WR,Southern Methodist,Ga. Southern,Sun Belt
Treylon Burks,Treylon Burks,TEN,Tennessee,267,5,2,1,0.5,6,0,0,0.2,0,0,0,WR,Arkansas,Arkansas,SEC
Jaden Hicks,Jaden Hicks,KC,Kansas City,267,15,1,1,1.0,1,0,0,0.1,0,0,0,DB,Washington State,Washington,Big Ten
Kirk Cousins,Kirk Cousins,ATL,Atlanta,277,14,23,0,0.0,13,0,0,0.0,6,0,2,QB,Michigan State,Michigan,Big Ten
Carson Wentz,Carson Wentz,KC,Kansas City,277,2,3,0,0.0,2,0,0,0.0,0,0,0,QB,North Dakota State,NC State,ACC
Kalif Raymond,Kalif Raymond,DET,Detroit,277,11,2,0,0.0,12,0,0,0.0,0,0,1,WR,Holy Cross,,
JK Scott,JK Scott,LAC,LA Chargers,277,15,1,0,0.0,0,0,0,0.0,1,0,0,P,Alabama,Alabama,SEC
Tyler Conklin,Tyler Conklin,NYJ,NY Jets,277,14,1,0,0.0,0,0,0,0.0,0,0,0,TE,Central Michigan,Michigan,Big Ten
Steven Sims,David Moore,HOU,Carolina Panthers,277,7,1,0,0.0,0,0,0,0.0,0,0,0,WR,East Central (OK),East,Sun Belt
Jake Bailey,Jake Bailey,MIA,Miami,277,15,1,0,0.0,0,0,0,0.0,0,0,0,P,Stanford,Stanford,ACC
David Moore,David Moore,CAR,Carolina,277,15,1,0,0.0,0,0,0,0.0,0,0,0,WR,East Central (OK),East,Sun Belt
Christian Watson,Christian Watson,GB,Green Bay,277,13,2,0,0.0,4,0,0,0.0,0,0,0,WR,North Dakota State,NC State,ACC
Dylan Laube,Dylan Laube,LV,Las Vegas,277,8,1,0,0.0,0,0,0,0.0,1,1,0,RB,New Hampshire,,
Ja'Lynn Polk,Ja'Lynn Polk,NE,New England,277,14,1,0,0.0,0,0,0,0.0,0,0,0,WR,Washington,Washington,Big Ten
Kameron Johnson,Kameron Johnson,TB,Tampa Bay,277,4,1,0,0.0,0,0,0,0.0,0,0,0,WR,Barton,,
Jonnu Smith,Jonnu Smith,MIA,Miami,289,15,2,-1,-0.5,0,0,0,-0.1,0,0,0,TE,Florida International,Florida,SEC
Myles Gaskin,Myles Gaskin,MIN,Jacksonville,289,5,3,-1,-0.3,2,0,0,-0.2,0,0,0,RB,Washington,Washington,Big Ten
Jermaine Jackson,Jermaine Jackson,NO,New Orleans,289,4,1,-1,-1.0,-1,0,0,-0.3,0,0,0,WR,Idaho,,
Nick Mullens,Nick Mullens,MIN,Minnesota,292,4,3,-2,-0.7,0,0,0,-0.5,0,0,0,QB,Southern Mississippi,Southern Miss.,Sun Belt
Jake Browning,Jake Browning,CIN,Cincinnati,292,3,2,-2,-1.0,-1,0,0,-0.7,0,0,0,QB,Washington,Washington,Big Ten
Jarrett Stidham,Jarrett Stidham,DEN,Denver,292,2,2,-2,-1.0,-1,0,0,-1.0,0,0,0,QB,Auburn,Auburn,SEC
Kyle Trask,Kyle Trask,TB,Tampa Bay,292,3,2,-2,-1.0,-1,0,0,-0.7,0,0,0,QB,Florida,Florida,SEC
Tavierre Thomas,Tavierre Thomas,TB,Tampa Bay,292,15,1,-2,-2.0,-2,0,0,-0.1,0,0,0,DB,Ferris State,NC State,ACC
Jalen Reagor,Jalen Reagor,LAC,LA Chargers,297,8,3,-3,-1.0,1,0,0,-0.4,0,0,0,WR,Texas Christian,Texas,SEC
Drake London,Drake London,ATL,Atlanta,297,15,1,-3,-3.0,-3,0,0,-0.2,0,0,0,WR,Southern California,Southern California,Big Ten
Drew Sample,Drew Sample,CIN,Cincinnati,299,15,1,-4,-4.0,-4,0,0,-0.3,0,0,0,TE,Washington,Washington,Big Ten
Kadarius Toney,Jalen Nailor,CLE,Minnesota Vikings,299,3,2,-4,-2.0,3,0,0,-1.3,0,0,0,WR,Michigan State,Michigan,Big Ten
Cade Otton,Cade Otton,TB,Tampa Bay,299,14,1,-4,-4.0,-4,0,0,-0.3,0,0,0,TE,Washington,Washington,Big Ten
Jalen Nailor,Jalen Nailor,MIN,Minnesota,299,15,3,-4,-1.3,3,0,0,-0.3,0,0,1,WR,Michigan State,Michigan,Big Ten
Cedric Tillman,Cedric Tillman,CLE,Cleveland,303,11,1,-5,-5.0,-5,0,0,-0.5,0,0,0,WR,Tennessee,Tennessee,SEC
Jha'Quan Jackson,Jha'Quan Jackson,TEN,Tennessee,303,12,1,-5,-5.0,-5,0,0,-0.4,0,0,0,WR,Tulane,Tulane,The American
Clayton Tune,Clayton Tune,ARI,Arizona,305,5,6,-6,-1.0,2,0,0,-1.2,1,1,1,QB,Houston,Houston,Big 12
George Pickens,George Pickens,PIT,Pittsburgh,305,12,2,-6,-3.0,4,0,0,-0.5,0,0,0,WR,Georgia,Georgia,SEC
Tyson Bagent,Tyson Bagent,CHI,Chicago,307,4,6,-7,-1.2,-1,0,0,-1.8,0,0,0,QB,Shepherd,,
Mitchell Trubisky,Mitchell Trubisky,BUF,Buffalo,308,7,11,-10,-0.9,0,0,0,-1.4,0,0,0,QB,North Carolina,North Carolina,ACC
