PLR_NAME,TEAM,RK,GP,SOLO,AST,TOT,SACK,YDS,TFL,PD,INT,YDS.1,LNG,TD,FF,FR,FTD
Nathaniel Watson,CLE,667,12,8,3,11,0.0,0,0,0,0,0,0,0,0,0,0
Hunter Luepke,DAL,667,14,3,8,11,0.0,0,0,0,0,0,0,0,0,0,0
Jowon Briggs,CLE,667,4,1,10,11,0.0,0,1,0,0,0,0,0,0,1,0
Drake Thomas,SEA,667,15,3,8,11,0.0,0,0,1,0,0,0,0,0,0,0
Jacoby Windmon,CAR,667,6,6,5,11,1.0,3,1,1,0,0,0,0,0,0,0
Jeremiah Trotter Jr.,PHI,667,15,6,5,11,0.0,0,0,1,0,0,0,0,0,0,0
Tyler Owens,WSH,667,12,7,4,11,0.0,0,0,0,0,0,0,0,1,0,0
Mike Hall Jr.,CLE,667,6,6,5,11,1.0,5,3,0,0,0,0,0,0,0,0
Carlos Watkins,WSH/DAL,692,14,3,7,10,0.0,0,0,0,0,0,0,0,0,0,0
Kevin King,ATL,692,15,6,4,10,0.0,0,0,2,0,0,0,0,0,1,0
Siran Neal,MIA,692,15,8,2,10,0.0,0,0,2,0,0,0,0,0,0,0
Bilal Nichols,ARI,692,6,6,4,10,0.0,0,1,0,0,0,0,0,0,0,0
Greg Stroman Jr.,NYG,692,4,9,1,10,0.0,0,0,0,0,0,0,0,0,0,0
Ezekiel Turner,HOU/DET,692,8,7,3,10,0.5,4,0,0,0,0,0,0,0,0,0
Bryce Huff,PHI,692,10,5,5,10,2.5,25,3,0,0,0,0,0,1,0,0
Brenden Schooler,NE,692,15,9,1,10,2.0,16,2,0,0,0,0,0,0,0,0
Darrick Forrest,WSH,692,8,5,5,10,0.0,0,0,0,0,0,0,0,0,0,0
Cory Durden,NYG,692,3,4,6,10,0.0,0,1,0,0,0,0,0,0,0,0
Caleb Farley,CAR,692,7,6,4,10,0.0,0,0,0,0,0,0,0,0,0,0
Brady Russell,SEA,692,11,6,4,10,0.0,0,0,0,0,0,0,0,0,0,0
Kalia Davis,SF,692,11,5,5,10,0.0,0,0,1,1,2,2,0,0,0,0
Derrick Barnes,DET,692,3,8,2,10,0.0,0,0,1,0,0,0,0,0,0,0
Brenton Cox Jr.,GB,692,5,6,4,10,3.0,22,4,0,0,0,0,0,1,0,0
Daniel Hardy,CHI,692,15,7,3,10,0.0,0,0,0,0,0,0,0,1,0,0
Dylan Horton,HOU,692,11,2,8,10,0.0,0,0,0,0,0,0,0,0,0,0
Jonathan Harris,CAR,692,7,4,6,10,0.0,0,1,0,0,0,0,0,0,1,0
AJ Finley,LAC/SEA,692,12,6,4,10,0.0,0,0,0,0,0,0,0,0,0,0
Kelee Ringo,PHI,692,15,8,2,10,0.0,0,0,0,0,0,0,0,1,1,0
Jordan Jefferson,JAX,692,6,5,5,10,1.0,9,1,0,0,0,0,0,0,0,0
Tre Hawkins III,NYG,692,3,8,2,10,0.0,0,0,2,1,0,0,0,0,0,0
McKinnley Jackson,CIN,692,11,4,6,10,1.0,7,2,0,0,0,0,0,1,0,0
Haason Reddick,NYJ,715,8,6,3,9,0.5,4,2,1,0,0,0,0,0,0,0
Al-Quadin Muhammad,DET,715,7,7,2,9,2.0,14,3,1,0,0,0,0,0,0,0
Takk McKinley,NYJ,715,7,4,5,9,0.5,3,1,0,0,0,0,0,0,0,0
Mike Edwards,BUF/TB,715,6,4,5,9,0.0,0,0,1,0,0,0,0,0,0,0
Dre Greenlaw,SF,715,2,3,6,9,0.0,0,0,0,0,0,0,0,0,0,0
Feleipe Franks,CAR,715,14,6,3,9,0.0,0,0,0,0,0,0,0,0,1,0
Elijah Garcia,NYG,715,3,4,5,9,0.0,0,1,0,0,0,0,0,0,0,0
Ashton Dulin,IND,715,13,7,2,9,0.0,0,0,0,0,0,0,0,0,0,0
Del'Shawn Phillips,HOU,715,15,4,5,9,0.0,0,0,0,0,0,0,0,0,0,0
Jordon Riley,NYG,715,11,6,3,9,0.0,0,2,0,0,0,0,0,0,0,0
Jacob Hummel,LAR,715,15,6,3,9,0.0,0,0,0,0,0,0,0,0,0,0
Matthew Butler,LV,715,7,4,5,9,0.0,0,0,0,0,0,0,0,0,0,0
Vi Jones,TB,715,7,5,4,9,0.0,0,0,0,0,0,0,0,2,0,0
Xavier Thomas,ARI,715,12,5,4,9,2.5,13,2,0,0,0,0,0,1,0,0
Keondre Coburn,TEN,715,13,5,4,9,0.0,0,0,0,0,0,0,0,0,0,0
Rico Payton,NO,715,13,5,4,9,0.0,0,0,1,0,0,0,0,0,0,0
Andrew Booth Jr.,DAL,715,5,7,2,9,0.0,0,0,0,0,0,0,0,0,0,0
DeWayne Carter,BUF,715,9,8,1,9,0.0,0,4,1,0,0,0,0,0,0,0
Jordan Magee,WSH,715,8,7,2,9,0.0,0,0,0,0,0,0,0,0,0,0
Mekhi Wingo,DET,715,11,1,8,9,0.0,0,0,0,0,0,0,0,0,0,0
Dallis Flowers,IND/TB,715,5,9,0,9,0.0,0,1,0,0,0,0,0,0,0,0
Adam Gotsis,IND,736,5,4,4,8,0.0,0,0,0,0,0,0,0,0,0,0
John Johnson III,LAR,736,2,4,4,8,0.0,0,0,1,1,0,0,0,0,0,0
Demone Harris,ATL,736,7,3,5,8,0.0,0,1,1,0,0,0,0,0,0,0
Michael Davis,WSH,736,13,1,7,8,0.0,0,0,1,0,0,0,0,0,0,0
Uchenna Nwosu,SEA,736,4,3,5,8,0.0,0,0,0,0,0,0,0,0,0,0
Kendall Sheffield,NYJ,736,5,5,3,8,0.0,0,0,0,0,0,0,0,0,0,0
Elijah Campbell,MIA,736,15,5,3,8,0.0,0,1,0,0,0,0,0,1,0,0
Sam Kamara,CLE,736,9,4,4,8,0.0,0,0,0,0,0,0,0,0,0,0
Jeremiah Moon,PIT,736,11,4,4,8,0.0,0,0,0,0,0,0,0,0,0,0
Caleb Johnson,JAX,736,15,6,2,8,0.0,0,0,0,0,0,0,0,0,0,0
James Houston,CLE/DET,736,9,5,3,8,1.0,5,1,0,0,0,0,0,0,0,0
Buddy Johnson,DAL,736,12,3,5,8,0.0,0,0,0,0,0,0,0,0,0,0
Jeff Okudah,HOU,736,5,7,1,8,0.0,0,0,0,0,0,0,0,0,0,0
Arron Mosby,GB,736,13,5,3,8,0.5,4,1,1,0,0,0,0,0,0,0
Josh Ross,BAL/SEA,736,15,5,3,8,0.0,0,0,0,0,0,0,0,0,0,0
Malik Herring,KC,736,11,5,3,8,0.0,0,1,0,0,0,0,0,0,0,0
Nesta Jade Silvera,LV,736,7,2,6,8,0.0,0,0,0,0,0,0,0,0,0,0
Joe Andreessen,BUF,736,11,4,4,8,0.0,0,0,0,0,0,0,0,0,0,0
Jalyn Armour-Davis,BAL,736,7,6,2,8,0.0,0,0,1,0,0,0,0,0,0,0
David Ojabo,BAL,736,11,5,3,8,2.0,11,2,0,0,0,0,0,0,0,0
JL Skinner,DEN,736,12,4,4,8,0.0,0,0,0,0,0,0,0,0,1,0
Kris Abrams-Draine,DEN,736,3,5,3,8,0.0,0,0,2,1,17,17,0,0,0,0
Alex Wright,CLE,736,4,5,3,8,1.0,2,1,0,0,0,0,0,0,0,0
Bo Richter,MIN,736,12,5,3,8,0.0,0,0,0,0,0,0,0,0,1,0
Qwan'tez Stiggers,NYJ,736,13,7,1,8,0.0,0,0,0,0,0,0,0,0,0,0
C.J. Goodwin,DAL,761,15,7,0,7,0.0,0,0,0,0,0,0,0,1,0,0
Fabian Moreau,MIN,761,7,6,1,7,0.0,0,0,1,0,0,0,0,0,0,0
Javon Hargrave,SF,761,3,4,3,7,1.0,9,1,0,0,0,0,0,0,0,0
KhaDarel Hodge,ATL,761,15,4,3,7,0.0,0,1,0,0,0,0,0,0,1,1
Antonio Hamilton Sr.,ATL,761,11,5,2,7,0.0,0,0,0,0,0,0,0,0,0,0
Jamal Adams,DET/TEN,761,5,4,3,7,0.0,0,0,0,0,0,0,0,0,0,0
Jihad Ward,MIN,761,15,5,2,7,1.0,4,1,1,0,0,0,0,0,1,0
Trent Sherfield Sr.,MIN,761,15,6,1,7,0.0,0,0,0,0,0,0,0,0,0,0
Terrell Edmunds,PIT/JAX,761,6,5,2,7,0.0,0,0,0,0,0,0,0,0,0,0
Irvin Charles,NYJ,761,13,5,2,7,0.0,0,0,0,0,0,0,0,0,0,0
Daniel Thomas,JAX,761,13,3,4,7,0.0,0,0,0,0,0,0,0,0,1,0
DJ Turner,LV,761,12,3,4,7,0.0,0,0,0,0,0,0,0,0,0,0
Cedrick Wilson Jr.,NO,761,12,2,5,7,0.0,0,0,0,0,0,0,0,0,0,0
Travis Homer,CHI,761,10,4,3,7,0.0,0,0,0,0,0,0,0,0,0,0
Myles Bryant,HOU,761,9,6,1,7,0.0,0,0,0,0,0,0,0,0,0,0
Tarvarius Moore,CHI,761,10,7,0,7,0.0,0,0,0,0,0,0,0,0,0,0
Sam Franklin Jr.,CAR,761,8,4,3,7,0.0,0,0,0,0,0,0,0,0,0,0
Marcelino McCrary-Ball,NYJ,761,10,3,4,7,0.0,0,0,0,0,0,0,0,0,0,0
Khaleke Hudson,CLE/NO,761,15,5,2,7,0.0,0,0,0,0,0,0,0,0,0,0
Chandler Wooten,CAR,761,3,4,3,7,0.0,0,0,0,0,0,0,0,0,0,0
Ali Gaye,TEN,761,13,6,1,7,1.0,10,2,0,0,0,0,0,0,0,0
Kemon Hall,DAL,761,6,6,1,7,0.0,0,0,0,0,0,0,0,0,0,0
Dominique Robinson,CHI,761,4,4,3,7,0.0,0,0,0,0,0,0,0,0,0,0
Rodney Thomas II,IND,761,15,5,2,7,0.0,0,0,0,0,0,0,0,0,0,0
JuJu Brents,IND,761,1,3,4,7,0.0,0,0,0,0,0,0,0,0,0,0
Myles Cole,JAX,761,6,4,3,7,0.0,0,1,0,0,0,0,0,0,0,0
Ryan Miller,TB,761,9,5,2,7,0.0,0,0,0,0,0,0,0,0,0,0
Keidron Smith,DEN,761,9,4,3,7,0.0,0,0,0,0,0,0,0,0,0,0
Cory Trice Jr.,PIT,761,4,5,2,7,0.0,0,0,1,1,0,0,0,0,0,0
Adetomiwa Adebawore,IND,761,15,5,2,7,1.0,8,3,0,0,0,0,0,0,0,0
Emmanuel Forbes Jr.,WSH,761,6,2,5,7,0.0,0,0,1,1,19,19,0,0,0,0
Sanoussi Kane,BAL,761,13,3,4,7,0.0,0,0,0,0,0,0,0,0,0,0
Ruke Orhorhoro,ATL,761,6,3,4,7,0.0,0,1,0,0,0,0,0,0,0,0
Nehemiah Pritchett,SEA,761,9,4,3,7,0.0,0,0,1,0,0,0,0,0,0,0
Ty'Ron Hopper,GB,761,14,5,2,7,0.0,0,0,0,0,0,0,0,0,0,0
Amare Barno,CAR,761,4,4,3,7,1.0,3,1,0,0,0,0,0,0,0,0
Art Green,NYG,761,7,5,2,7,0.0,0,0,0,0,0,0,0,1,0,0
Marcellas Dial Jr.,NE,761,15,2,5,7,0.0,0,0,0,0,0,0,0,1,0,0
Sione Vaki,DET,761,14,7,0,7,0.0,0,0,0,0,0,0,0,1,0,0
Jordan Phillips,BUF/DAL,800,7,4,2,6,0.0,0,0,0,0,0,0,0,0,0,0
Dare Ogunbowale,HOU,800,15,3,3,6,0.0,0,0,0,0,0,0,0,1,0,0
Cameron Sutton,PIT,800,7,1,5,6,0.0,0,0,2,0,0,0,0,0,0,0
Mike Ford Jr.,CLE,800,15,5,1,6,0.0,0,0,0,0,0,0,0,0,0,0
M.J. Stewart,HOU,800,13,3,3,6,0.0,0,0,0,0,0,0,0,0,1,0
Derrick Nnadi,KC,800,15,3,3,6,0.0,0,0,0,0,0,0,0,0,0,0
Armon Watts,NYG,800,4,3,3,6,0.0,0,2,0,0,0,0,0,0,0,0
Myles Adams,SEA/DET,800,5,3,3,6,0.0,0,0,0,0,0,0,0,0,0,0
Lonnie Johnson Jr.,CAR,800,14,5,1,6,0.0,0,0,0,0,0,0,0,0,0,0
Jayden Peevy,CAR,800,4,2,4,6,1.5,3,1,1,0,0,0,0,1,0,0
Markquese Bell,DAL,800,9,5,1,6,0.0,0,0,0,0,0,0,0,0,0,0
Connor Heyward,PIT,800,15,4,2,6,0.0,0,0,0,0,0,0,0,0,0,0
Jaelan Phillips,MIA,800,4,2,4,6,1.0,6,1,2,0,0,0,0,0,0,0
Kurt Hinish,HOU,800,8,1,5,6,0.0,0,0,0,0,0,0,0,0,0,0
Jonathan Ford,CHI,800,2,1,5,6,0.0,0,1,0,0,0,0,0,0,0,0
Brian Asamoah II,MIN,800,15,4,2,6,0.0,0,0,0,0,0,0,0,1,0,0
Desjuan Johnson,LAR,800,8,1,5,6,0.0,0,0,0,0,0,0,0,0,0,0
Christian Barmore,NE,800,4,6,0,6,1.0,2,1,0,0,0,0,0,0,0,0
Cameron McGrone,IND,800,8,4,2,6,0.0,0,0,0,0,0,0,0,0,0,0
Tyler Allgeier,ATL,800,15,5,1,6,0.0,0,0,0,0,0,0,0,0,0,0
Scott Matlock,LAC,800,15,2,4,6,1.0,6,1,1,0,0,0,0,0,0,0
Chris Smith II,LV,800,15,2,4,6,0.0,0,0,0,0,0,0,0,0,0,0
Dareke Young,SEA,800,12,5,1,6,0.0,0,0,0,0,0,0,0,0,0,0
Corey Ballentine,GB,800,12,6,0,6,0.0,0,0,0,0,0,0,0,1,0,0
Cade Stover,HOU,800,13,6,0,6,0.0,0,0,0,0,0,0,0,0,0,0
Kei'Trel Clark,ARI,800,13,4,2,6,1.0,0,1,0,0,0,0,0,0,0,0
Braiden McGregor,NYJ,800,7,3,3,6,0.0,0,0,0,0,0,0,0,0,0,0
Will Shipley,PHI,800,15,5,1,6,0.0,0,0,0,0,0,0,0,0,0,0
Ennis Rakestraw Jr.,DET,800,8,4,2,6,0.0,0,0,0,0,0,0,0,0,0,0
Darius Robinson,ARI,800,4,1,5,6,1.0,0,0,0,0,0,0,0,0,0,0
Deane Leonard,LAC,800,9,4,2,6,0.0,0,0,2,0,0,0,0,0,0,0
Thomas Incoom,CAR,800,7,6,0,6,0.0,0,1,0,0,0,0,0,0,0,0
Casey Kreiter,NYG,832,15,3,2,5,0.0,0,0,0,0,0,0,0,0,0,0
Michael Burton,DEN,832,15,1,4,5,0.0,0,0,0,0,0,0,0,0,0,0
Dean Lowry,PIT,832,12,1,4,5,1.0,0,0,1,0,0,0,0,0,0,0
Eli Ankou,BUF,832,2,1,4,5,0.0,0,0,0,0,0,0,0,0,0,0
Tony Brown II,CLE,832,6,2,3,5,0.0,0,0,0,0,0,0,0,1,0,0
Marquis Haynes Sr.,CAR,832,2,4,1,5,0.0,0,0,0,0,0,0,0,0,0,0
Mitchell Fraboni,DEN,832,15,3,2,5,0.0,0,0,0,0,0,0,0,0,0,0
Arthur Maulet,BAL,832,3,4,1,5,0.0,0,0,0,0,0,0,0,0,0,0
Kris Boyd,HOU,832,15,2,3,5,0.0,0,0,0,0,0,0,0,0,1,0
Adam Prentice,NO,832,14,4,1,5,0.0,0,0,0,0,0,0,0,0,0,0
Charlie Woerner,ATL,832,14,3,2,5,0.0,0,0,0,0,0,0,0,0,0,0
Janarius Robinson,LV,832,10,2,3,5,0.5,5,0,1,0,0,0,0,0,0,0
Ben Skowronek,PIT,832,9,2,3,5,0.0,0,0,0,0,0,0,0,0,2,0
Shaq Quarterman,LAC/CAR,832,9,5,0,5,0.0,0,0,0,0,0,0,0,0,0,0
Kylen Granson,IND,832,15,5,0,5,0.0,0,0,0,0,0,0,0,0,0,0
Avery Williams,ATL,832,15,2,3,5,0.0,0,0,0,0,0,0,0,0,0,0
David Moore,CAR,832,15,4,1,5,0.0,0,0,0,0,0,0,0,0,0,0
DeeJay Dallas,ARI,832,15,3,2,5,0.0,0,0,0,0,0,0,0,0,0,0
Joey Blount,ARI,832,15,3,2,5,0.0,0,0,0,0,0,0,0,0,0,0
Laviska Shenault Jr.,LAC/SEA,832,12,5,0,5,0.0,0,0,0,0,0,0,0,0,0,0
Jack Cochrane,KC,832,15,3,2,5,0.0,0,0,0,0,0,0,0,0,0,0
Christian Braswell,JAX,832,3,1,4,5,0.0,0,0,0,0,0,0,0,0,0,0
Alec Pierce,IND,832,14,5,0,5,0.0,0,0,0,0,0,0,0,0,0,0
Josh Whyle,TEN,832,15,3,2,5,0.0,0,0,0,0,0,0,0,0,0,0
Sydney Brown,PHI,832,9,5,0,5,0.0,0,0,1,0,0,0,0,1,0,0
Jake Bobo,SEA,832,15,2,3,5,0.0,0,0,0,0,0,0,0,0,0,0
Eku Leota,PIT/CAR,832,3,5,0,5,1.0,1,3,0,0,0,0,0,0,0,0
Jarrick Bernard-Converse,NYJ,832,7,2,3,5,0.0,0,0,0,0,0,0,0,0,0,0
Bryce Ford-Wheaton,NYG,832,12,4,1,5,0.0,0,0,0,0,0,0,0,0,0,0
Bryce Oliver,TEN,832,8,4,1,5,0.0,0,0,0,0,0,0,0,0,0,0
Ja'Marr Chase,CIN,832,15,5,0,5,0.0,0,0,0,0,0,0,0,0,0,0
Jaden Crumedy,CAR,832,3,2,3,5,0.0,0,0,0,0,0,0,0,0,0,0
Cam Jones,KC,832,15,3,2,5,0.0,0,0,0,0,0,0,0,0,0,0
Nate Adkins,DEN,832,15,2,3,5,0.0,0,0,0,0,0,0,0,0,0,0
Xavier Smith,LAR,832,13,3,2,5,0.0,0,0,0,0,0,0,0,0,0,0
Alex Austin,NE,832,7,5,0,5,0.0,0,0,3,0,0,0,0,0,0,0
Levelle Bailey,DEN,832,10,1,4,5,0.0,0,0,0,0,0,0,0,0,0,0
Javon Solomon,BUF,832,12,5,0,5,2.0,28,2,0,0,0,0,0,1,0,0
Jay Ward,MIN,832,14,4,1,5,0.0,0,0,1,0,0,0,0,0,0,0
Jalen Graham,SF,832,6,3,2,5,0.0,0,1,0,0,0,0,0,0,0,0
Mike Morris,SEA,832,13,3,2,5,0.0,0,0,0,0,0,0,0,0,0,0
Josh Wallace,LAR,832,15,4,1,5,0.0,0,0,2,0,0,0,0,0,0,0
Natrone Brooks,ATL,832,7,4,1,5,0.0,0,0,1,0,0,0,0,0,0,0
Jalen Brooks,DAL,832,12,4,1,5,0.0,0,0,0,0,0,0,0,0,0,0
Isaiah Davis,NYJ,832,15,5,0,5,0.0,0,0,0,0,0,0,0,0,0,0
Jerry Hughes,HOU,877,6,2,2,4,0.0,0,0,0,0,0,0,0,0,0,0
Kareem Jackson,BUF,877,2,2,2,4,0.0,0,0,0,0,0,0,0,0,0,0
Carl Davis Jr.,WSH,877,3,1,3,4,0.0,0,0,0,0,0,0,0,0,0,0
Bobby McCain,MIN,877,3,2,2,4,0.0,0,0,0,0,0,0,0,0,0,0
Joe Cardona,NE,877,14,3,1,4,0.0,0,0,0,0,0,0,0,1,0,0
Ameer Abdullah,LV,877,15,2,2,4,0.0,0,0,0,0,0,0,0,0,0,0
Tyler Matakevich,PIT,877,9,4,0,4,0.0,0,0,0,0,0,0,0,0,0,0
Chris Wormley,BAL,877,2,1,3,4,0.0,0,0,0,0,0,0,0,0,0,0
Scott Daly,CHI,877,15,2,2,4,0.0,0,0,0,0,0,0,0,0,0,0
Tre Flowers,IND/JAX,877,5,3,1,4,0.0,0,0,0,0,0,0,0,0,0,0
Tanner Hudson,CIN,877,10,4,0,4,0.0,0,0,0,0,0,0,0,0,0,0
Justin Jones,ARI,877,3,3,1,4,0.0,0,1,0,0,0,0,0,0,1,0
David Njoku,CLE,877,11,4,0,4,0.0,0,0,0,0,0,0,0,0,0,0
Matthew Adams,NYG,877,11,3,1,4,0.0,0,0,0,0,0,0,0,0,0,0
Tremon Smith,DEN,877,15,3,1,4,0.0,0,0,0,0,0,0,0,0,0,0
Efe Obada,WSH,877,6,2,2,4,0.0,0,0,0,0,0,0,0,0,0,0
Josiah Deguara,JAX,877,13,2,2,4,0.0,0,0,0,0,0,0,0,0,0,0
Ty Johnson,BUF,877,15,4,0,4,0.0,0,0,0,0,0,0,0,0,0,0
Jacob Bobenmoyer,LV,877,15,3,1,4,0.0,0,0,0,0,0,0,0,0,0,0
Nick Westbrook-Ikhine,TEN,877,15,4,0,4,0.0,0,0,0,0,0,0,0,0,0,0
Charles Omenihu,KC,877,4,2,2,4,1.0,10,0,0,0,0,0,0,1,0,0
Ben Stille,ARI/TB,877,6,1,3,4,1.0,4,1,1,0,0,0,0,0,1,0
Boogie Basham,NYG,877,2,1,3,4,0.0,0,1,1,0,0,0,0,0,0,0
Khalid Kareem,ATL,877,2,2,2,4,0.0,0,0,0,0,0,0,0,0,0,0
Collin Johnson,CHI,877,7,2,2,4,0.0,0,0,0,0,0,0,0,0,0,0
Luke Farrell,JAX,877,15,4,0,4,0.0,0,0,0,0,0,0,0,0,0,0
Kenny Yeboah,NYJ,877,7,1,3,4,0.0,0,0,0,0,0,0,0,0,0,0
Ifeatu Melifonwu,DET,877,1,2,2,4,1.0,2,1,0,0,0,0,0,0,0,0
Esezi Otomewo,JAX,877,4,0,4,4,0.5,2,0,0,0,0,0,0,0,0,0
Charlie Kolar,BAL,877,12,2,2,4,0.0,0,0,0,0,0,0,0,0,0,0
Ty Chandler,MIN,877,15,3,1,4,0.0,0,0,0,0,0,0,0,0,0,0
Cade Otton,TB,877,14,4,0,4,0.0,0,0,0,0,0,0,0,0,0,0
Patrick Johnson,NYG/PHI,877,13,1,3,4,0.0,0,0,0,0,0,0,0,0,0,0
Mark Robinson,PIT,877,15,4,0,4,0.0,0,0,0,0,0,0,0,1,0,0
Amari Gainer,LV,877,15,2,2,4,0.0,0,0,0,0,0,0,0,0,0,0
Chig Okonkwo,TEN,877,15,3,1,4,0.0,0,0,0,0,0,0,0,0,0,0
Colson Yankoff,WSH,877,6,2,2,4,0.0,0,0,0,0,0,0,0,0,0,0
Cameron Thomas,KC/CLE,877,7,1,3,4,0.0,0,1,0,0,0,0,0,0,0,0
Daniel Bellinger,NYG,877,15,2,2,4,0.0,0,0,0,0,0,0,0,0,0,0
Julian Hill,MIA,877,14,1,3,4,0.0,0,0,0,0,0,0,0,0,0,0
Kenneth Gainwell,PHI,877,15,4,0,4,0.0,0,0,0,0,0,0,0,0,0,0
Hassan Haskins,LAC,877,15,1,3,4,0.0,0,0,0,0,0,0,0,0,0,0
Luke Schoonmaker,DAL,877,15,2,2,4,0.0,0,0,0,0,0,0,0,0,0,0
Amon-Ra St. Brown,DET,877,15,4,0,4,0.0,0,0,0,0,0,0,0,0,0,0
Channing Tindall,MIA,877,9,3,1,4,0.0,0,0,0,0,0,0,0,0,0,0
DeMarvin Leal,PIT,877,5,2,2,4,0.0,0,0,0,0,0,0,0,0,0,0
Adisa Isaac,BAL,877,4,2,2,4,0.0,0,1,1,0,0,0,0,0,0,0
Drake London,ATL,877,15,4,0,4,0.0,0,0,0,0,0,0,0,0,0,0
Curtis Jacobs,NE,877,9,2,2,4,0.0,0,0,0,0,0,0,0,0,0,0
