RK,NAME,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
1,Ja'Marr Chase CIN,15,108,146,"1,510",14.0,16,70,18,100.7,0,0,722,67
2,Justin Jefferson MIN,15,92,134,"1,387",15.1,10,97,26,92.5,1,0,405,59
3,CeeDee Lamb DAL,15,101,152,"1,194",11.8,6,65,16,79.6,1,1,537,54
4,Amon-Ra St. Brown DET,15,101,124,"1,126",11.1,11,66,13,75.1,1,1,380,63
5,Jaxon Smith-Njigba SEA,15,93,126,"1,089",11.7,6,46,14,72.6,1,0,447,53
6,Brian Thomas Jr. JAX,15,73,112,"1,088",14.9,9,85,15,72.5,0,0,490,46
7,Jerry Jeudy CLE,15,72,114,"1,072",14.9,4,89,12,71.5,0,0,308,49
8,Brock Bowers LV,15,101,137,"1,067",10.6,4,57,14,71.1,0,0,549,53
9,A.J. Brown PHI,12,64,92,"1,043",16.3,6,67,16,86.9,0,0,352,50
10,Terry McLaurin WSH,15,73,98,"1,029",14.1,12,86,12,68.6,0,0,279,52
11,Zay Flowers BAL,15,71,109,"1,016",14.3,4,53,18,67.7,0,0,439,46
12,Garrett Wilson NYJ,15,90,141,987,11.0,6,42,14,65.8,1,1,377,53
13,Drake London ATL,15,83,127,978,11.8,7,31,6,65.2,0,0,266,55
14,Malik Nabers NYG,13,97,154,969,10.0,4,39,12,74.5,1,0,327,49
15,George Kittle SF,13,68,83,967,14.2,8,43,18,74.4,0,0,456,44
16,Ladd McConkey LAC,14,69,94,960,13.9,5,60,13,68.6,2,0,326,45
17,Trey McBride ARI,14,92,120,958,10.4,0,37,8,68.4,0,0,411,51
18,Darnell Mooney ATL,15,62,101,955,15.4,5,49,20,63.7,0,0,269,46
19,Davante Adams LV/NYJ,12,74,121,928,12.5,7,71,13,77.3,0,0,409,44
19,Courtland Sutton DEN,15,71,119,928,13.1,6,37,15,61.9,1,1,162,49
21,Nico Collins HOU,10,60,88,909,15.1,6,67,13,90.9,0,0,332,42
22,DK Metcalf SEA,13,60,100,897,14.9,4,71,17,69.0,2,2,244,31
23,Jameson Williams DET,13,47,75,890,18.9,6,82,16,68.5,0,0,421,35
24,Puka Nacua LAR,10,69,92,861,12.5,3,51,9,86.1,0,0,447,42
25,Calvin Ridley TEN,15,56,109,857,15.3,4,63,15,57.1,0,0,187,33
26,Jauan Jennings SF,13,63,93,856,13.6,6,45,12,65.8,0,0,211,43
27,George Pickens PIT,12,55,90,850,15.5,3,44,16,70.8,1,1,199,35
28,Jakobi Meyers LV,13,73,110,843,11.5,2,43,11,64.8,0,0,268,44
29,Tyreek Hill MIA,15,70,111,834,11.9,6,80,12,55.6,0,0,269,47
30,DJ Moore CHI,15,83,122,826,10.0,5,44,10,55.1,0,0,468,35
31,Mike Evans TB,12,57,87,818,14.4,9,57,13,68.2,0,0,194,43
32,Jordan Addison MIN,13,56,85,806,14.4,8,69,12,62.0,0,0,186,35
33,Jonnu Smith MIA,15,76,95,802,10.6,6,57,4,53.5,1,0,457,49
34,Khalil Shakir BUF,14,73,94,796,10.9,4,52,9,56.9,1,0,576,34
35,Travis Kelce KC,15,89,122,739,8.3,2,38,8,49.3,2,1,287,42
36,Tee Higgins CIN,10,58,92,727,12.5,7,42,11,72.7,0,0,206,37
36,Jayden Reed GB,14,49,65,727,14.8,6,70,12,51.9,0,0,363,25
38,Marvin Harrison Jr. ARI,15,51,100,726,14.2,7,60,10,48.4,1,1,127,36
39,DeVonta Smith PHI,12,62,82,713,11.5,6,46,11,59.4,0,0,262,38
40,Rome Odunze CHI,15,51,95,701,13.7,3,47,8,46.7,2,1,249,35
41,Jaylen Waddle MIA,14,54,74,700,13.0,2,63,11,50.0,0,0,232,36
42,Keenan Allen CHI,13,62,110,694,11.2,7,45,9,53.4,1,0,220,39
43,Josh Downs IND,12,59,90,687,11.6,5,69,10,57.3,0,0,332,34
44,Cooper Kupp LAR,11,66,97,681,10.3,6,69,9,61.9,1,0,260,27
45,Hunter Henry NE,15,66,96,674,10.2,2,35,4,44.9,0,0,268,40
46,Rashod Bateman BAL,15,39,63,668,17.1,8,59,9,44.5,0,0,149,30
47,Tank Dell HOU,14,51,81,667,13.1,3,50,9,47.6,0,0,164,35
48,Deebo Samuel Sr. SF,14,50,80,665,13.3,2,76,10,47.5,0,0,412,27
49,Alec Pierce IND,14,29,58,645,22.2,5,65,10,46.1,0,0,98,25
50,Michael Pittman Jr. IND,14,54,91,627,11.6,2,33,10,44.8,1,1,210,26
51,Christian Watson GB,13,29,51,620,21.4,2,60,12,47.7,0,0,149,21
52,Ray-Ray McCloud III ATL,15,57,79,607,10.6,1,60,7,40.5,3,1,325,26
53,DeAndre Hopkins KC/TEN,15,54,76,603,11.2,5,35,6,40.2,1,0,104,35
54,Cade Otton TB,14,59,87,600,10.2,4,44,7,42.9,2,1,311,31
55,Sam LaPorta DET,14,47,68,599,12.7,6,52,10,42.8,0,0,292,32
56,Wan'Dale Robinson NYG,15,78,123,585,7.5,2,25,3,39.0,0,0,301,30
57,De'Von Achane MIA,15,76,85,579,7.6,6,39,3,38.6,1,0,648,30
58,Chris Godwin TB,7,50,62,576,11.5,5,55,7,82.3,1,0,350,33
59,Xavier Worthy KC,15,51,89,559,11.0,5,54,3,37.3,0,0,339,31
60,Tucker Kraft GB,14,41,56,555,13.5,7,67,7,39.6,1,1,365,24
61,Tyler Lockett SEA,15,44,66,552,12.5,2,37,7,36.8,0,0,112,33
62,Mark Andrews BAL,15,49,59,551,11.2,9,38,4,36.7,0,0,142,34
63,Alvin Kamara NO,14,68,89,543,8.0,2,57,7,38.8,1,0,542,18
63,Joshua Palmer LAC,14,35,59,543,15.5,1,45,10,38.8,0,0,91,26
63,Kyle Pitts ATL,15,41,66,543,13.2,3,52,6,36.2,0,0,249,18
66,Darius Slayton NYG,14,38,67,541,14.2,1,43,8,38.6,0,0,105,29
66,DeMario Douglas NE,15,59,78,541,9.2,2,35,7,36.1,1,0,348,26
68,Zach Ertz WSH,15,55,79,538,9.8,4,25,6,35.9,1,0,137,31
69,Michael Wilson ARI,15,43,65,526,12.2,4,41,10,35.1,1,1,122,24
70,Tutu Atwell LAR,15,37,54,525,14.2,0,50,9,35.0,0,0,120,27
71,Romeo Doubs GB,11,37,58,523,14.1,4,39,8,47.5,0,0,103,27
72,Calvin Austin III PIT,15,32,52,517,16.2,4,55,10,34.5,0,0,142,17
73,Mike Gesicki CIN,15,47,61,511,10.9,2,47,5,34.1,1,1,191,27
74,Pat Freiermuth PIT,15,50,59,508,10.2,6,30,7,33.9,2,1,222,26
75,David Njoku CLE,11,64,97,505,7.9,5,29,4,45.9,0,0,251,23
76,Elijah Moore CLE,15,57,92,501,8.8,1,44,4,33.4,0,0,121,23
77,Keon Coleman BUF,11,24,40,498,20.8,3,64,11,45.3,0,0,207,18
78,Stefon Diggs HOU,8,47,64,496,10.6,3,49,5,62.0,0,0,185,31
79,Amari Cooper BUF/CLE,13,41,82,491,12.0,3,30,7,37.8,0,0,108,23
79,Tre Tucker LV,15,42,69,491,11.7,2,58,6,32.7,0,0,200,22
81,Dalton Schultz HOU,15,48,76,482,10.0,2,32,5,32.1,0,0,203,24
81,Jalen Tolbert DAL,15,42,69,482,11.5,6,48,5,32.1,0,0,89,24
83,Quentin Johnston LAC,13,37,69,477,12.9,8,66,9,36.7,0,0,223,22
84,Cole Kmet CHI,15,45,53,471,10.5,4,31,7,31.4,0,0,181,25
85,Jake Ferguson DAL,12,54,77,464,8.6,0,27,6,38.7,3,1,293,17
86,Adam Thielen CAR,8,38,50,461,12.1,3,36,6,57.6,0,0,129,23
87,Breece Hall NYJ,14,53,70,460,8.7,2,57,5,32.9,0,0,457,14
88,Noah Brown WSH,11,35,56,453,12.9,1,52,4,41.2,0,0,83,21
89,Allen Lazard NYJ,10,33,54,450,13.6,5,52,7,45.0,0,0,130,25
90,Kayshon Boutte NE,13,32,56,444,13.9,2,40,9,34.2,0,0,116,20
91,Dallas Goedert PHI,9,38,46,441,11.6,2,61,6,49.0,2,0,231,16
92,Jahmyr Gibbs DET,15,43,54,440,10.2,3,54,6,29.3,1,1,512,22
93,Xavier Legette CAR,14,41,70,439,10.7,4,35,7,31.4,0,0,95,23
94,Chig Okonkwo TEN,15,47,63,437,9.3,2,70,4,29.1,2,1,234,17
95,Demarcus Robinson LAR,15,28,56,433,15.5,7,46,7,28.9,0,0,54,24
96,Austin Hooper NE,15,38,50,430,11.3,3,38,5,28.7,2,1,213,23
96,Noah Gray KC,15,38,47,430,11.3,5,35,6,28.7,0,0,203,25
96,Isaiah Likely BAL,14,38,52,430,11.3,5,49,4,30.7,1,1,242,23
99,Dalton Kincaid BUF,12,42,73,424,10.1,2,29,5,35.3,1,0,248,21
100,Bijan Robinson ATL,15,56,62,420,7.5,1,29,3,28.0,0,0,508,20
101,Will Dissly LAC,13,43,55,418,9.7,1,29,5,32.2,0,0,256,19
102,James Conner ARI,15,45,52,410,9.1,1,44,4,27.3,2,1,475,17
102,Nick Westbrook-Ikhine TEN,15,25,47,410,16.4,9,98,4,27.3,0,0,106,21
104,Andrei Iosivas CIN,15,31,54,408,13.2,6,39,6,27.2,0,0,45,23
105,Chris Olave NO,8,32,44,400,12.5,1,39,4,50.0,1,1,121,22
106,Devaughn Vele DEN,11,35,49,398,11.4,2,37,6,36.2,0,0,118,21
107,Noah Fant SEA,12,39,53,394,10.1,0,28,2,32.8,0,0,201,20
108,Rachaad White TB,14,50,56,389,7.8,6,32,3,27.8,1,1,516,18
109,Justice Hill BAL,15,42,51,383,9.1,3,27,3,25.5,0,0,433,17
110,Jalen Coker CAR,9,23,37,381,16.6,2,83,5,42.3,0,0,149,16
111,Tim Patrick DET,14,31,42,379,12.2,3,42,6,27.1,0,0,134,20
111,Christian Kirk JAX,8,27,47,379,14.0,1,61,7,47.4,0,0,113,18
113,Marquez Valdes-Scantling BUF/NO,12,16,34,378,23.6,4,71,7,31.5,0,0,123,12
113,T.J. Hockenson MIN,8,34,48,378,11.1,0,34,4,47.3,0,0,122,25
115,Tyler Boyd TEN,15,37,53,376,10.2,0,40,4,25.1,0,0,182,19
115,Tyler Conklin NYJ,14,41,61,376,9.2,2,27,6,26.9,0,0,208,19
117,Juwan Johnson NO,14,36,47,375,10.4,3,30,6,26.8,1,0,136,18
118,Brandon Aiyuk SF,7,25,47,374,15.0,0,53,5,53.4,0,0,107,19
119,Olamide Zaccheaus WSH,15,35,50,370,10.6,2,49,3,24.7,0,0,227,19
120,Evan Engram JAX,9,47,64,365,7.8,1,24,2,40.6,1,1,150,17
121,Diontae Johnson BAL/CAR,11,31,63,363,11.7,3,39,5,33.0,0,0,87,20
122,D'Andre Swift CHI,15,38,45,358,9.4,0,42,4,23.9,0,0,360,10
123,KaVontae Turpin DAL,15,27,43,351,13.0,2,64,5,23.4,1,1,209,15
123,Brenton Strange JAX,15,36,48,351,9.8,2,30,6,23.4,1,1,159,17
125,Rashid Shaheed NO,6,20,41,349,17.5,3,70,5,58.2,0,0,106,12
125,Marvin Mims Jr. DEN,15,26,39,349,13.4,2,93,4,23.3,0,0,366,9
127,Aaron Jones MIN,15,42,51,348,8.3,2,25,4,23.2,2,2,353,15
128,Austin Ekeler WSH,11,33,39,346,10.5,0,34,8,31.5,1,0,403,13
129,Parker Washington JAX,15,27,44,344,12.7,1,30,5,22.9,0,0,94,16
130,David Montgomery DET,14,36,38,341,9.5,0,40,2,24.4,0,0,365,16
131,Cedric Tillman CLE,11,29,49,339,11.7,3,38,6,30.8,1,1,104,15
132,Chase Brown CIN,15,50,61,336,6.7,4,34,2,22.4,0,0,303,21
132,Jalen McMillan TB,11,27,47,336,12.4,5,32,6,30.5,0,0,107,17
134,Theo Johnson NYG,12,29,43,331,11.4,1,35,4,27.6,0,0,149,16
135,David Moore CAR,15,30,53,325,10.8,2,21,2,21.7,0,0,56,16
136,Sterling Shepard TB,13,31,49,323,10.4,1,30,4,24.8,0,0,99,15
137,Mack Hollins BUF,15,26,44,320,12.3,5,44,3,21.3,0,0,73,21
137,Bucky Irving TB,15,41,43,320,7.8,0,32,2,21.3,0,0,429,13
139,Dontayvion Wicks GB,14,27,58,310,11.5,4,36,4,22.1,0,0,121,19
140,Dawson Knox BUF,15,21,30,307,14.6,1,39,7,20.5,0,0,93,12
141,Foster Moreau NO,14,23,31,302,13.1,4,41,5,21.6,0,0,113,16
141,Josh Jacobs GB,14,31,38,302,9.7,1,49,5,21.6,0,0,354,13
141,Ja'Tavion Sanders CAR,14,29,37,302,10.4,1,46,5,21.6,1,0,169,11
144,Kenneth Walker III SEA,11,46,53,299,6.5,1,21,1,27.2,0,0,363,19
145,Javonte Williams DEN,15,47,64,296,6.3,0,34,2,19.7,0,0,346,12
146,Dyami Brown WSH,15,27,36,292,10.8,1,51,5,19.5,1,1,192,12
147,Joe Mixon HOU,12,33,48,291,8.8,1,37,4,24.3,0,0,329,12
148,Adonai Mitchell IND,15,21,50,290,13.8,0,36,4,19.3,1,0,81,14
149,Samaje Perine KC,15,25,32,289,11.6,1,36,5,19.3,0,0,291,14
149,Zach Charbonnet SEA,15,39,49,289,7.4,1,30,3,19.3,0,0,312,7
151,Colby Parkinson LAR,15,29,47,288,9.9,1,23,2,19.2,0,0,154,15
151,Rashee Rice KC,4,24,29,288,12.0,2,44,3,72.0,0,0,186,15
153,Jordan Akins CLE,15,28,42,281,10.0,1,21,2,18.7,1,0,135,15
154,Jalen Nailor MIN,15,20,33,280,14.0,5,33,5,18.7,0,0,74,17
155,Greg Dortch ARI,15,30,43,277,9.2,1,39,1,18.5,1,1,237,13
155,Alexander Mattison LV,12,31,40,277,8.9,1,31,3,23.1,0,0,296,11
157,Saquon Barkley PHI,15,31,41,276,8.9,2,43,4,18.4,0,0,244,12
158,Ty Johnson BUF,15,16,22,275,17.2,3,41,5,18.3,0,0,156,13
159,Mike Williams PIT/NYJ,16,20,31,273,13.6,1,32,5,17.1,0,0,35,13
160,Kendrick Bourne NE,10,24,32,271,11.3,1,37,2,27.1,0,0,84,11
161,Jaylen Warren PIT,13,33,40,269,8.2,0,29,2,20.7,1,0,278,13
162,Lil'Jordan Humphrey DEN,15,29,43,267,9.2,1,41,5,17.8,2,1,187,10
163,Tyrone Tracy Jr. NYG,15,34,48,263,7.7,1,19,0,17.5,1,0,263,13
164,Van Jefferson PIT,15,21,35,258,12.3,2,43,4,17.2,0,0,76,11
164,James Cook BUF,14,32,38,258,8.1,2,28,3,18.4,0,0,260,14
166,Tyler Johnson LAR,14,22,34,256,11.6,0,63,3,18.3,0,0,154,7
166,Najee Harris PIT,15,30,39,256,8.5,0,32,4,17.1,0,0,294,11
168,Grant Calcaterra PHI,15,21,24,254,12.1,1,34,5,16.9,0,0,122,14
169,Troy Franklin DEN,14,25,49,252,10.1,2,30,5,18.0,0,0,142,10
170,Josh Oliver MIN,13,20,25,242,12.1,3,28,5,18.6,0,0,119,13
171,Gabe Davis JAX,10,20,42,239,11.9,2,22,6,23.9,1,1,39,13
172,Tony Pollard TEN,15,41,57,238,5.8,0,30,2,15.9,0,0,221,9
173,Rico Dowdle DAL,14,36,45,233,6.5,3,22,1,16.6,0,0,238,12
174,Nelson Agholor BAL,14,14,29,231,16.5,2,56,5,16.5,0,0,85,10
175,Ameer Abdullah LV,15,37,43,229,6.2,3,24,1,15.3,0,0,227,14
176,Jerome Ford CLE,13,37,43,225,6.1,0,26,3,17.3,0,0,294,10
176,Luke Schoonmaker DAL,15,25,34,225,9.0,1,24,3,15.0,0,0,88,10
178,Justin Watson KC,15,19,27,224,11.8,1,25,1,14.9,0,0,59,11
179,Josh Whyle TEN,15,23,29,219,9.5,1,33,3,14.6,0,0,130,13
180,Tyjae Spears TEN,11,27,31,216,8.0,1,43,2,19.6,0,0,251,9
181,AJ Barner SEA,15,25,33,211,8.4,3,20,1,14.1,0,0,137,14
182,JuJu Smith-Schuster KC,12,15,22,209,13.9,2,50,3,17.4,0,0,140,10
183,Kalif Raymond DET,11,16,21,204,12.8,2,38,3,18.5,0,0,131,9
183,Tommy Tremble CAR,10,21,29,204,9.7,1,38,2,20.4,1,1,107,10
185,Curtis Samuel BUF,13,24,38,201,8.4,1,38,2,15.5,0,0,100,8
185,Jordan Whittington LAR,13,18,23,201,11.2,0,31,2,15.5,0,0,126,10
187,Travis Etienne Jr. JAX,13,35,45,199,5.7,0,21,1,15.3,0,0,230,10
188,Brandin Cooks DAL,8,19,37,192,10.1,3,29,2,24.0,0,0,37,15
188,Darnell Washington PIT,15,18,24,192,10.7,1,29,3,12.8,0,0,123,9
190,Tylan Wallace BAL,15,10,10,191,19.1,1,84,2,12.7,0,0,119,5
191,Ricky Pearsall SF,9,17,28,190,11.2,1,46,2,21.1,0,0,63,8
192,Taysom Hill NO,8,23,31,187,8.1,0,34,2,23.4,1,1,137,8
192,Zack Moss CIN,8,23,27,187,8.1,1,21,1,23.4,0,0,194,11
194,Antonio Gibson NE,15,19,22,186,9.8,0,50,2,12.4,0,0,191,9
195,Stone Smartt LAC,13,14,17,185,13.2,0,31,4,14.2,1,1,65,9
196,Ray Davis BUF,15,14,15,184,13.1,2,63,2,12.3,0,0,147,7
197,Josh Reynolds DEN/JAX,7,12,21,183,15.3,1,49,4,26.1,0,0,35,8
197,Adam Trautman DEN,15,12,19,183,15.3,2,37,2,12.2,0,0,95,8
199,John Metchie III HOU,11,17,25,182,10.7,1,28,2,16.5,0,0,62,9
200,Kareem Hunt KC,12,23,32,176,7.7,0,26,1,14.7,0,0,216,10
201,Trey Palmer TB,13,12,22,172,14.3,1,27,2,13.2,0,0,42,7
202,Chuba Hubbard CAR,15,43,54,171,4.0,1,20,1,11.4,3,2,245,10
203,Luke McCaffrey WSH,15,18,24,168,9.3,0,30,2,11.2,0,0,97,8
203,Rhamondre Stevenson NE,14,33,40,168,5.1,1,16,0,12.0,1,0,237,8
205,Dare Ogunbowale HOU,15,16,24,166,10.4,1,31,2,11.1,0,0,149,7
205,Kyren Williams LAR,15,31,37,166,5.4,2,26,1,11.1,0,0,187,6
207,Jalen Brooks DAL,12,11,29,165,15.0,1,41,2,13.8,0,0,37,7
208,Cedrick Wilson Jr. NO,12,13,17,159,12.2,1,25,1,13.3,0,0,57,7
209,DJ Turner LV,12,16,29,158,9.9,1,30,2,13.2,0,0,83,9
209,Erick All Jr. CIN,9,20,22,158,7.9,0,28,1,17.6,0,0,87,8
211,Derrick Henry BAL,15,15,17,152,10.1,2,27,2,10.1,0,0,176,8
212,Lucas Krull DEN,11,18,22,149,8.3,0,23,1,13.5,0,0,63,7
212,Elijah Higgins ARI,15,18,21,149,8.3,2,23,1,9.9,0,0,69,8
214,Mo Alie-Cox IND,15,12,20,147,12.3,1,22,2,9.8,0,0,49,7
215,Christian McCaffrey SF,4,15,19,146,9.7,0,30,2,36.5,1,1,98,6
216,Raheem Mostert MIA,11,17,21,145,8.5,0,25,1,13.2,0,0,135,10
217,Brian Robinson Jr. WSH,12,17,22,144,8.5,0,32,1,12.0,0,0,160,4
218,Robert Woods HOU,13,16,25,143,8.9,0,32,1,11.0,2,0,65,9
218,Tanner Hudson CIN,10,18,22,143,7.9,1,19,0,14.3,1,1,89,8
220,Kyle Juszczyk SF,15,16,26,142,8.9,0,34,2,9.5,0,0,62,5
221,Kylen Granson IND,15,10,23,141,14.1,0,40,2,9.4,0,0,74,6
222,Braelon Allen NYJ,15,17,24,140,8.2,1,15,0,9.3,0,0,156,8
223,Johnny Mundt MIN,15,18,26,135,7.5,2,20,1,9.0,0,0,78,7
224,J.K. Dobbins LAC,11,28,34,134,4.8,0,15,0,12.2,0,0,175,6
224,Malik Washington MIA,12,18,26,134,7.4,0,20,1,11.2,0,0,85,6
